UNIQUE REF,Description,Element Description,Entity,ENEntity Name,PymtDate,SumOfNet Amt,SumOfVatAmt,SumOfGross Amt,
CFADDOM18979662,Adult & Community Services,Dom Care Spot,87025,1ST CALL HOMECARE LTD,01/06/2010,754.60,0.00,754.60,
CFADDAY18967862,Adult & Community Services,Individualised Support,234677,ADVANCE SUPPORTED LIVING,01/06/2010,2132.20,0.00,2132.20,
CFADDOM18979745,Adult & Community Services,Dom Care Spot,168316,ADVENT CARE TEAM LTD,01/06/2010,958.65,0.00,958.65,
CFADDOM18979748,Adult & Community Services,Dom Care Spot,168316,ADVENT CARE TEAM LTD,01/06/2010,938.12,0.00,938.12,
CFADDOM18979752,Adult & Community Services,Dom Care Spot,168316,ADVENT CARE TEAM LTD,01/06/2010,1293.60,0.00,1293.60,
CFADDOM18979756,Adult & Community Services,Dom Care Spot,168316,ADVENT CARE TEAM LTD,01/06/2010,539.00,0.00,539.00,
CFADDOM18979758,Adult & Community Services,Dom Care Spot,168316,ADVENT CARE TEAM LTD,01/06/2010,735.35,0.00,735.35,
CFADDOM18979760,Adult & Community Services,Dom Care Spot,168316,ADVENT CARE TEAM LTD,01/06/2010,1078.00,0.00,1078.00,
CFADDOM18979765,Adult & Community Services,Dom Care Spot,168316,ADVENT CARE TEAM LTD,01/06/2010,527.45,0.00,527.45,
CFADDOM18979767,Adult & Community Services,Dom Care Spot,168316,ADVENT CARE TEAM LTD,01/06/2010,2729.65,0.00,2729.65,
CFADDOM18979772,Adult & Community Services,Dom Care Spot,168316,ADVENT CARE TEAM LTD,01/06/2010,862.40,0.00,862.40,
CFADDAY18967860,Adult & Community Services,Individualised Support,231671,ASSISTED LIVING SOUTH WEST,01/06/2010,3611.00,0.00,3611.00,
CFADDAY18967861,Adult & Community Services,Individualised Support,231671,ASSISTED LIVING SOUTH WEST,01/06/2010,2084.00,0.00,2084.00,
CFADDAY18967781,Adult & Community Services,Day Care Spot,89354,BARN PARK RESIDENTIAL HOME,01/06/2010,524.80,0.00,524.80,
CFADDOM18979778,Adult & Community Services,Dom Care Spot,209342,CARE COMPANY(SW)LTD,01/06/2010,1420.00,0.00,1420.00,
CFADDOM18979781,Adult & Community Services,Dom Care Spot,209342,CARE COMPANY(SW)LTD,01/06/2010,502.50,0.00,502.50,
CFADDOM18979786,Adult & Community Services,Dom Care Spot,209342,CARE COMPANY(SW)LTD,01/06/2010,568.48,0.00,568.48,
CFADDOM18979777,Adult & Community Services,Dom Care Spot,209222,HOMELIFE CARERS LTD,01/06/2010,843.60,0.00,843.60,
CFADDAY18967792,Adult & Community Services,Individualised Support,90003,LIFEWAYS COMMUNITY CARE LTD,01/06/2010,3614.60,0.00,3614.60,
CFADDAY18967793,Adult & Community Services,Individualised Support,90003,LIFEWAYS COMMUNITY CARE LTD,01/06/2010,1092.80,0.00,1092.80,
CFADDAY18967794,Adult & Community Services,Individualised Support,90003,LIFEWAYS COMMUNITY CARE LTD,01/06/2010,3614.60,0.00,3614.60,
CFADDAY18967795,Adult & Community Services,Individualised Support,90003,LIFEWAYS COMMUNITY CARE LTD,01/06/2010,1092.80,0.00,1092.80,
CFADDOM18979796,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,865.23,0.00,865.23,
CFADDOM18979801,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,935.34,0.00,935.34,
CFADDOM18979804,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,599.76,0.00,599.76,
CFADDOM18979806,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,585.48,0.00,585.48,
CFADDOM18979808,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,599.76,0.00,599.76,
CFADDOM18979811,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,942.48,0.00,942.48,
CFADDOM18979813,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,528.36,0.00,528.36,
CFADDOM18979814,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,699.72,0.00,699.72,
CFADDOM18979821,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,592.62,0.00,592.62,
CFADDOM18979823,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,918.51,0.00,918.51,
CFADDOM18979825,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,667.59,0.00,667.59,
CFADDOM18979828,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,792.54,0.00,792.54,
CFADDOM18979832,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,585.48,0.00,585.48,
CFADDOM18979835,Adult & Community Services,Dom Care Spot,209782,NURSE PLUS & CARER PLUS (UK) LTD,01/06/2010,832.95,0.00,832.95,
CFADDOM18979845,Adult & Community Services,Dom Care Spot,253349,OASIS COMMUNITY CARE LTD,01/06/2010,585.00,0.00,585.00,
CFADDAY18967768,Adult & Community Services,Individualised Support,86977,ROBERT OWEN COMMUNITIES,01/06/2010,661.24,0.00,661.24,
CFADDAY18967863,Adult & Community Services,Individualised Support,258844,SUPPORTED LIVING & CARE COMPANY,01/06/2010,803.60,0.00,803.60,
CFADDAY18967796,Adult & Community Services,Individualised Support,90173,WOODMILL THE,01/06/2010,6364.08,0.00,6364.08,
EXCHEQ19210145,Children & Younger Persons,Internal Works,130553,ADROIT SERVICES,01/06/2010,851.00,148.93,999.93,
EXCHEQ19210002,Children & Younger Persons,Capital F&E,183548,ASHTON ELECTRICAL,01/06/2010,1100.55,192.60,1293.15,
EXCHEQ19208777,Children & Younger Persons,Examination Fees,15450,ASSESSMENT & QUALIFICATIONS ALLN,01/06/2010,1341.25,0.00,1341.25,
EXCHEQ19209991,Children & Younger Persons,Telephone Rental,209111,B N P PARIBAS LEASE GRP RENTALS,01/06/2010,926.94,162.21,1089.15,
EXCHEQ19209979,Children & Younger Persons,Educational Visits,5581,BICTON COLLEGE,01/06/2010,560.00,0.00,560.00,
GMHFM19460605,Children & Younger Persons,Other Hired Transport- Education,140265,BISHOPS BLATCHPACK,01/06/2010,720.00,126.00,846.00,
RESTRAT19561658,Children & Younger Persons,Misc Other,20292,BOOK TRUST,01/06/2010,661.10,28.90,690.00,
EXCHEQ19208725,Children & Younger Persons,Electricity,181102,BRITISH GAS BUSINESS (GAS),01/06/2010,647.49,32.37,679.86,
EXCHEQ19208726,Children & Younger Persons,Gas,181102,BRITISH GAS BUSINESS (GAS),01/06/2010,1078.95,53.95,1132.90,
EXCHEQ19208836,Children & Younger Persons,Electricity,181102,BRITISH GAS BUSINESS (GAS),01/06/2010,508.51,88.99,597.50,
EXCHEQ19208878,Children & Younger Persons,Gas,181102,BRITISH GAS BUSINESS (GAS),01/06/2010,1640.67,82.03,1722.70,
EXCHEQ19209018,Children & Younger Persons,Gas,181102,BRITISH GAS BUSINESS (GAS),01/06/2010,676.78,33.84,710.62,
EXCHEQ19209140,Children & Younger Persons,Gas,181102,BRITISH GAS BUSINESS (GAS),01/06/2010,3004.27,150.21,3154.48,
EXCHEQ19209149,Children & Younger Persons,Electricity,181102,BRITISH GAS BUSINESS (GAS),01/06/2010,761.34,133.23,894.57,
EXCHEQ19209797,Children & Younger Persons,Electricity,181102,BRITISH GAS BUSINESS (GAS),01/06/2010,764.27,38.21,802.48,
EXCHEQ19209914,Children & Younger Persons,Electricity,181102,BRITISH GAS BUSINESS (GAS),01/06/2010,1177.36,58.87,1236.23,
EXCHEQ19210121,Children & Younger Persons,Gas,181102,BRITISH GAS BUSINESS (GAS),01/06/2010,620.41,31.02,651.43,
EXCHEQ19210149,Children & Younger Persons,Gas,181102,BRITISH GAS BUSINESS (GAS),01/06/2010,873.86,43.69,917.55,
LIBHQ19474836,Adult & Community Services,Gas,181102,BRITISH GAS BUSINESS (GAS),01/06/2010,534.48,26.72,561.20,
EXCHEQ19209608,Children & Younger Persons,Cleaning Materials & swim pool chemicals,71276,BUNZL CLEANING & HYGIENE SUPPLIE,01/06/2010,465.60,81.48,547.08,
EXCHEQ19209352,Children & Younger Persons,It Equip & Software & Related Exp,263327,BUSINESS IT SUPPORT TEAM LTD,01/06/2010,1008.00,176.40,1184.40,
EXCHEQ19208879,Children & Younger Persons,Capital Ict Equipment,239678,C L DESIGN,01/06/2010,629.10,110.09,739.19,
CFADDAY18967822,Adult & Community Services,Individualised Support,109244,CAREWATCH (TORBAY & SOUTH HAMS),01/06/2010,523.60,0.00,523.60,
CFADDAY18967823,Adult & Community Services,Individualised Support,109244,CAREWATCH (TORBAY & SOUTH HAMS),01/06/2010,554.40,0.00,554.40,
FINNDAD19407412,Adult & Community Services,Agency Staff Non Teaching,254233,CARITAS RECRUITMENT,01/06/2010,1032.50,180.69,1213.19,
DPMANUAL19169982,Corporate Resources,Direct Delivery (DPS),91452,CASCADE BLINDS,01/06/2010,599.00,104.83,703.83,
EXCHEQ19209232,Children & Younger Persons,Consumable Materials,60664,CONSORTIUM THE,01/06/2010,934.45,163.53,1097.98,
EXCHEQ19209378,Children & Younger Persons,Furniture - purchase / repair,116193,CREATIVE SOLUTIONS,01/06/2010,477.83,83.62,561.45,
